publishedAt,source,title,description,url,vader_compound
2025-08-15T19:04:50Z,CleanTechnica,Petrostates Blow Up UN Plastics Conference,"Plastics were the topic at a UN conference in Geneva last week, but no progress was made thanks to opposition from petrostates. 
The post Petrostates Blow Up UN Plastics Conference appeared first on CleanTechnica.",https://cleantechnica.com/2025/08/15/petrostates-blow-up-un-plastics-conference/,0.6956
2025-08-15T18:40:13Z,The Times of India,"Hillary Clinton stuns, says she would back Trump for Nobel Prize if he pulls off this big move",Hillary Clinton said she might nominate Donald Trump for the Nobel Peace Prize if he can bring peace between Russia and Ukraine without letting Russia take Ukrainian land. She spoke on a podcast about the Alaska meeting with Putin. Trump has long hoped for th…,https://economictimes.indiatimes.com/news/international/us/hillary-clinton-stuns-says-she-would-back-trump-for-nobel-prize-if-he-pulls-off-this-big-move/articleshow/123325826.cms,0.946
2025-08-15T18:37:48Z,Rolling Out,Apple rumored to be plotting new AI devices,Apple’s technological ambitions are reaching unprecedented heights as the company orchestrates a comprehensive artificial intelligence strategy that could fundamentally transform how consumers interact with their homes. Industry insiders reveal that the iPhon…,https://rollingout.com/2025/08/15/apple-plotting-new-ai-devices/,0.7096
2025-08-15T18:00:00Z,Crankyflier.com,"Cranky Weekly Review presented by Oakland San Francisco Bay Airport: Spirit Gasps for Air, Delta’s Mexican JV Does the Same","Book Now on Spirit, While Supplies Last Spirit Airlines said in its recent 10-Q that there’s “substantial doubt” it can survive the next 12 months, which is a another way to warn us for “we might not be here by next summer, so don’t buy gift cards.” The yello…",https://crankyflier.com/2025/08/15/cranky-weekly-review-presented-by-oakland-san-francisco-bay-airport-spirit-gasps-for-air-deltas-mexican-jv-does-the-same/,0.7063
2025-08-15T18:00:00Z,9to5Mac,HomeKit Weekly: Is the Ecovacs Deebot X8 Pro Omni the best robot vacuum for HomeKit?,"iOS 18.4 finally brought robot vacuum support to HomeKit, opening the door for a new wave of Matter-enabled vacuums that work with your existing smart home environment. I’ve been testing the for the past few months (even before iOS 18.4) to see how well it fi…",https://9to5mac.com/2025/08/15/ecovacs-deebot-x8-pro-omni/,0.8934
2025-08-15T17:51:50Z,WWD,Pandora Revenues Climb 8 Percent in Q2,"Headed toward being a ""full jewelry brand,"" the company laid out plans to launch a new entry price point collection and add to its lab-grown diamond offerings.",http://wwd.com/accessories-news/jewelry/pandora-financial-second-quarter-2025-1238037540/,0.34
2025-08-15T17:51:50Z,WWD,Pandora Revenues Climb 8 Percent in Q2,"Headed toward being a ""full jewelry brand,"" the company laid out plans to launch a new entry price point collection and add to its lab-grown diamond...",https://wwd.com/accessories-news/jewelry/pandora-financial-second-quarter-2025-1238037540/,0.0
2025-08-15T17:20:36Z,Yahoo Entertainment,Sirius XM Holdings (SIRI) Sees 10% Rise Over Past Week,"Sirius XM Holdings (SIRI) recently reaffirmed its earnings guidance for the full year 2025, setting expectations amid a challenging financial landscape...",https://finance.yahoo.com/news/sirius-xm-holdings-siri-sees-172036715.html,0.1531
2025-08-15T17:15:02Z,POPSUGAR,"The ""Backpacking Effect"" Is Healing Solo Travelers, Inside and Out","My algorithm never ceases to amaze me. I'm the furthest thing from a ""backpacker."" The thought of having to squish all of my essentials into one bag (I'm a maximalist) and stay in a hostel full of strangers - shared bathrooms are a hard no for me - sounds ter…",https://www.popsugar.com/health/backpacking-effect-tiktok-49453830,-0.4678
2025-08-15T16:00:00Z,The Star Online,Warships berth in Penang for Asean naval gathering,"GEORGE TOWN: Ten warships carrying 1,600 crew members have berthed at Swettenham Pier Cruise Terminal for a week to strengthen regional naval ties. Read full story",https://www.thestar.com.my/news/nation/2025/08/16/warships-berth-in-penang-for-asean-naval-gathering,0.0772
2025-08-15T15:34:24Z,Nextbigwhat.com,"Apple AI Plan Relies on Robots, Cisco CEO Addresses Tariffs","Apple's AI strategy involves robots, a human-like Siri, and smart home security gadgets, while Cisco CEO discusses AI sales and trade tariffs in an interview with Bloomberg. The tech giant's advancements in AI and robotics could revolutionize consumer technol…",https://nextbigwhat.com/apple-ai-plan-relies-on-robots-cisco-ceo-addresses-tariffs/,0.6249
2025-08-15T15:22:10Z,MacRumors,The MacRumors Show: Apple's Big Plan to Revamp the Smart Home,"On this week's episode of The MacRumors Show, we talk through Apple's plan to focus on the smart home with a host of new devices and improvements to Siri. 




Subscribe to The MacRumors Show YouTube channel for more videos

An upgrade to ChatGPT-5 integrati…",https://www.macrumors.com/2025/08/15/the-macrumors-show-apple-smart-home-plan/,0.7717
2025-08-15T15:14:54Z,Loopinsight.com,"∞ The Dalrymple Report: AI Robots, Siri, new Apple products",We've heard about Apple looking at releasing an AI robot in the past. The rumors are back and they also include Apple's foray into home security and smart displays. Apple's rumored revamped Siri will supposedly allow users to take action within an app using o…,https://www.loopinsight.com/2025/08/15/the-dalrymple-report-ai-robots-siri-new-apple-products/,0.7184
2025-08-15T15:07:24Z,Barchart.com,Apple CEO Tim Cook Says the Technology They’re Developing Will Be ‘One of the Most Profound Technologies of Our Lifetime’,"Apple CEO Tim Cook highlights AI as transformative, unveiling Apple Intelligence features, emphasizing on-device processing, privacy, and expanded...",https://www.barchart.com/story/news/34183355/apple-ceo-tim-cook-says-the-technology-theyre-developing-will-be-one-of-the-most-profound-technologies-of-our-lifetime,0.4767
2025-08-15T14:59:26Z,Tom's Hardware UK,"Asus says 90% of PC and motherboard production has been offshored from China to blunt tariffs — manufacturing moved to Thailand, Vietnam, and Indonesia","""Over 90% of our production for these products has already been distributed to these new regions.""",https://www.tomshardware.com/tech-industry/asus-says-90-percent-of-pc-and-motherboard-production-has-been-offshored-from-china-to-blunt-tariffs-manufacturing-moved-to-thailand-vietnam-and-indonesia,0.0
2025-08-15T14:58:58Z,Breitbart News,Trump Embarks for Historic Meeting with Putin in Alaska,"President Donald Trump departed Washington, DC, on Friday en route to Anchorage, Alaska, to meet with Russian President Vladimir Putin about his war with Ukraine. 
The post Trump Embarks for Historic Meeting with Putin in Alaska appeared first on Breitbart.",https://www.breitbart.com/politics/2025/08/15/trump-embarks-for-historic-meeting-with-putin-in-alaska/,-0.5994
2025-08-15T14:53:42Z,BusinessLine,"India, ASEAN to hold next round of FTA review in October","ASEAN-India trade negotiations aim to address trade deficit, with India pushing for greater market access and lower tariffs.",https://www.thehindubusinessline.com/economy/india-asean-to-hold-next-round-of-fta-review-in-october/article69937707.ece,-0.34
2025-08-15T14:45:10Z,Newsweek,Gamescom Co-Organizer Says 'Maybe There's No Need' for a US Version of the Show,"Gamescom is the biggest gaming show in the world, but it doesn't look like it's coming stateside anytime soon.",https://www.newsweek.com/entertainment/video-games/gamescom-co-organizer-says-maybe-theres-no-need-us-version-show-2114119,-0.5048
2025-08-15T14:45:00Z,GlobeNewswire,Trends Shaping the $660 Million Airless Blast Equipment Market in 2025 and Key Opportunities to 2030,"The market offers growth opportunities in industrial cleaning and surface preparation across sectors like infrastructure, aerospace, and automotive. Innovations in pump technology and regional environmental standards are key drivers. The market offers growth …",https://www.globenewswire.com/news-release/2025/08/15/3134354/28124/en/Trends-Shaping-the-660-Million-Airless-Blast-Equipment-Market-in-2025-and-Key-Opportunities-to-2030.html,0.8979
2025-08-15T14:16:45Z,Brucelawson.co.uk,Facebruce apologises for our racist pedo chatbot,"Here at Facebruce, our mission has always been to connect the world and push the boundaries of what’s possible. Our latest innovation, the sAIvile™ AI companion, is a bold step towards a more interconnected future. Pushing boundaries, however, sometimes means…",https://brucelawson.co.uk/2025/facebruce-apologises-for-our-racist-pedo-chatbot/,0.25
2025-08-15T14:16:44Z,Antaranews.com,"Xsolla Expands Payments in Asia to Support FPX, K PLUS, AIS, Indosat, and MerPay","-Xsolla, a global commerce company helping developers launch, grow and monetize their games, announces today a significant expansion of its payments solution ...",https://en.antaranews.com/news/373729/xsolla-expands-payments-in-asia-to-support-fpx-k-plus-ais-indosat-and-merpay,0.8126
2025-08-15T14:14:39Z,Slashdot.org,Report: Siri to Get New Design on iPhone and iPad as Early as Next Year - MacRumors,Report: Siri to Get New Design on iPhone and iPad as Early as Next YearMacRumors Apple’s Upcoming AI Voice Control Will Change How People Use iPhonesBloomberg.com Apple (AAPL) Upgrading Siri with AI-Powered Apple IntentYahoo Finance Siri's biggest upgrade yet…,https://slashdot.org/firehose.pl?op=view&amp;id=178685654,0.0
2025-08-15T14:10:44Z,PCMag.com,Google's Phone and Contacts Apps Get iOS-Like Contact Posters,"Unlike iOS, however, Google shows a Calling Card only if you set it yourself.
Google is bringing iOS-like full-screen “Calling Cards” to its Phone and Contacts apps. The update was first spotted in July and is now rolling out to some beta testers.To get start…",https://me.pcmag.com/en/android/31720/googles-phone-and-contacts-apps-get-ios-like-contact-posters,0.0
2025-08-15T14:10:44Z,PCMag.com,Google's Phone and Contacts Apps Get iOS-Like Contact Posters,"Unlike iOS, however, Google shows a Calling Card only if you set it yourself.
Google is bringing iOS-like full-screen “Calling Cards” to its Phone and Contacts apps. The update was first spotted in July and is now rolling out to some beta testers.To get start…",https://uk.pcmag.com/android/159593/googles-phone-and-contacts-apps-get-ios-like-contact-posters,0.0
