publishedAt,source,title,description,url,vader_compound
2025-08-13T15:15:44Z,Time Out,NYC is officially one of the world’s best cities for Gen Z,And it was voted the best city in the nation for this demographic.,https://www.timeout.com/newyork/news/nyc-is-officially-one-of-the-worlds-best-cities-for-gen-z-081325,0.8555
2025-08-13T15:13:12Z,CNBC,"Coffee and tea prices continue to ramp up due to tariffs, worrying retailers and importers","According to the Bureau of Labor Statistics, coffee prices surged 14.5% in July year over year. The average retail price for a pound of ground coffee hit $8.41.",https://www.cnbc.com/2025/08/13/coffee-and-tea-prices-ramp-up-due-to-tariffs.html,-0.34
2025-08-13T15:00:00Z,GlobeNewswire,Personalized Retail Nutrition and Wellness Market to Drive USD 16.25 Billion by 2034,"The global personalized retail nutrition and wellness market is projected to grow from USD 4.54 billion in 2025 to approximately USD 16.25 billion by 2034, driven by a CAGR of 15.22% during the forecast period. The global personalized retail nutrition and wel…",https://www.globenewswire.com/news-release/2025/08/13/3132771/0/en/Personalized-Retail-Nutrition-and-Wellness-Market-to-Drive-USD-16-25-Billion-by-2034.html,0.7003
2025-08-13T14:38:00Z,Forbes,China Market Update: Tencent Beats On Top & Bottom Line Despite AI Investments,"Asian equities were mostly higher overnight as Hong Kong and Thailand outperformed, while Australia and Pakistan underperformed.",https://www.forbes.com/sites/brendanahern/2025/08/13/china-market-update-tencent-beats-on-top--bottom-line-despite-ai-investments/,0.2023
2025-08-13T14:25:00Z,Foot-africa.com,Transfer window : The unlikely destination of Jonathan Bolingi,"Jonathan Bolingi chooses his new destinationJonathan Bolingi/FECOFAFree agent after leaving Vojvodina, Jonathan Bolingi has just found a new club. The Kinshasa native is heading to FC Chonburi, a club...",https://foot-africa.com/en/news/transfer-window-the-unlikely-destination-of-jonathan-bolingi-836565/,0.0
2025-08-13T14:04:31Z,Newsweek,Woman's Cats Welcome a Kitten— Viewers Obsessed With Unbreakable Bond,"The heartwarming TikTok video has over 2 million views in just 24 hours. One user said: ""They're in a very happy marriage, I can tell.""",https://www.newsweek.com/bonded-cats-love-kitten-tiktok-2112736,0.8553
2025-08-13T14:02:10Z,PetaPixel,Unwitting Tourist Arrested in Thailand for Flying Drone After Nationwide Ban,"A tourist and photographer is facing one year in prison for flying a drone in Thailand days after the country imposed a nationwide ban on the aerial devices.
[Read More]",https://petapixel.com/2025/08/13/unwitting-tourist-arrested-in-thailand-for-flying-drone-after-nationwide-ban/,-0.9313
2025-08-13T14:00:00Z,GlobeNewswire,"Halal Food and Beverage Market Size Worth USD 5.44 Trillion by 2034, Fueled by 8% CAGR and Rising Global Demand","According to Towards FnB, the global halal food and beverage market size is calculated at USD 2.72 trillion in 2025 and is forecasted to hit around USD 5.44 trillion by 2034, growing at a CAGR of 8% during the forecast period from 2025 to 2034. According to T…",https://www.globenewswire.com/news-release/2025/08/13/3132707/0/en/Halal-Food-and-Beverage-Market-Size-Worth-USD-5-44-Trillion-by-2034-Fueled-by-8-CAGR-and-Rising-Global-Demand.html,0.2732
2025-08-13T14:00:00Z,Plos.org,Monarch butterflies (Danaus plexippus) only use magnetic cues for migratory directionality with orientation re-calibrated by coldness,"Each fall, Eastern North American monarch butterflies (Danaus plexippus) leave their northern range and migrate to their overwintering sites high atop mountains in central Mexico. Although monarchs primarily rely on the use of a bidirectional time-compensated…",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0328737,-0.0516
2025-08-13T13:56:13Z,Barchart.com,How Bullish Is Sugar Here?,October sugar futures present a buying opportunity on more price strength.,https://www.barchart.com/story/news/34118001/how-bullish-is-sugar-here,0.7414
2025-08-13T13:43:04Z,Bleeding Cool News,New Horror Adventure Game Kumarn: The Wandering Spirit Revealed,"Indie game developer and publisher WereBuff Studio revealed their latest game, Kumarn: The Wandering Spirit, as they put a new twist on a couple of genres. This is a horror adventure game that takes inspirations from Thai folklore and ghost stories, as you ta…",https://bleedingcool.com/games/new-horror-adventure-game-kumarn-the-wandering-spirit-revealed/,-0.1531
2025-08-13T13:33:57Z,Samsung.com,Care Offer Registration | Samsung Thailand,Registration form for offering solution to TCC customer,https://www.samsung.com/th/support/care-offers-registration/,0.6705
2025-08-13T13:30:00Z,GlobeNewswire,"Vegan Beverages Market Size Set to Reach USD 61.89 Billion by 2034, Driven by Health and Sustainability","According to Towards FnB, the global vegan beverages market size accounted for USD 21.44 billion in 2025 and is forecasted to hit around USD 61.89 billion by 2034, representing a healthy CAGR of 12.5% during the forecast period from 2025 to 2034. According to…",https://www.globenewswire.com/news-release/2025/08/13/3132672/0/en/Vegan-Beverages-Market-Size-Set-to-Reach-USD-61-89-Billion-by-2034-Driven-by-Health-and-Sustainability.html,0.4215
2025-08-13T13:14:49Z,BusinessLine,"Global rice output likely to be record high next season, trade may rise","Global rice production and trade projections for 2025-26, including record imports by Iraq, according to USDA and IGC.",https://www.thehindubusinessline.com/economy/agri-business/global-rice-output-likely-to-be-record-high-next-season-trade-may-rise/article69928747.ece,0.0
2025-08-13T13:14:04Z,LADbible,Scientists have given a definitive answer on whether 'size matters',Scientists have finally given a definitive answer as to whether the size of a man's penis really matters in the bedroom,https://www.ladbible.com/news/health/penis-size-health-science-answer-definitive-bedroom-380721-20250813,0.101
2025-08-13T13:04:00Z,DW (English),Thailand: Is the military preparing another coup?,The recent border clashes with Cambodia have left Thailand's politics in chaos while boosting the already immense power of its military leaders. The border conflict between Thailand and Cambodia has strengthened the hand of the pro-junta leaders in Bangkok at…,https://www.dw.com/en/thailand-is-the-military-preparing-another-coup/a-73624722,0.34
2025-08-13T13:00:40Z,Retaildesignblog.net,Club 21 store by OPEN STUDIO,"Club 21 is one of Southeast Asia‘s leading retailers, managing a string of multi-brand boutiques and branded flagship stores in...",https://retaildesignblog.net/2025/08/13/club-21-store-by-open-studio/,0.1027
2025-08-13T13:00:15Z,Gematsu,"Thai folklore horror adventure game Kumarn: The Wandering Spirit announced for consoles, PC","Thailand-based WereBuff Studio has announced Kumarn: The Wandering Spirit, a horror adventure game inspired by Little Nightmares and rooted in Thai folklore. It will launch first for PC via Steam, …",https://www.gematsu.com/2025/08/thai-folklore-horror-adventure-game-kumarn-the-wandering-spirit-announced-for-consoles-pc,0.2023
