Date,timestamp_bkk,ticker,type,close,volume,detail
2025-09-02,2025-09-02 13:55,KKP.BK,VOLATILITY_BREAK,60.5,0,TR 0.2500 > 2.0×ATR(20) 0.1125
2025-09-02,2025-09-02 13:55,MINT.BK,VOLUME_SPIKE,23.600000381469727,258600,"Vol 258,600 > 3.0×avg(20) ~ 63,783"
2025-09-02,2025-09-02 13:55,MINT.BK,PRICE_VOLUME_DIVERGENCE,23.600000381469727,258600,|ret| 0.0000% < 0.15% + volume spike
2025-09-02,2025-09-02 13:55,SCB.BK,VOLUME_SPIKE,127.0,144800,"Vol 144,800 > 3.0×avg(20) ~ 38,374"
2025-09-02,2025-09-02 13:55,SCB.BK,PRICE_VOLUME_DIVERGENCE,127.0,144800,|ret| 0.0000% < 0.15% + volume spike
2025-09-02,2025-09-02 13:55,WHA.BK,VOLUME_SPIKE,3.5999999046325684,859100,"Vol 859,100 > 3.0×avg(20) ~ 149,193"
2025-09-02,2025-09-02 13:55,WHA.BK,PRICE_VOLUME_DIVERGENCE,3.5999999046325684,859100,|ret| 0.0000% < 0.15% + volume spike
2025-09-02,2025-09-02 14:00,BGRIM.BK,VOLUME_SPIKE,12.600000381469727,1353800,"Vol 1,353,800 > 3.0×avg(20) ~ 208,647"
2025-09-02,2025-09-02 14:00,BGRIM.BK,PRICE_VOLUME_DIVERGENCE,12.600000381469727,1353800,|ret| 0.0000% < 0.15% + volume spike
2025-09-02,2025-09-02 14:00,JMT.BK,VOLATILITY_BREAK,11.699999809265137,0,TR 0.1000 > 2.0×ATR(20) 0.0450
2025-09-02,2025-09-02 14:00,PRM.BK,VOLATILITY_BREAK,6.5,0,TR 0.0500 > 2.0×ATR(20) 0.0225
2025-09-02,2025-09-02 14:00,KKP.BK,VOLATILITY_BREAK,60.75,0,TR 0.2500 > 2.0×ATR(20) 0.1125
2025-09-02,2025-09-02 14:00,M.BK,VOLATILITY_BREAK,22.399999618530273,0,TR 0.1000 > 2.0×ATR(20) 0.0400
2025-09-02,2025-09-02 14:00,WHAUP.BK,VOLATILITY_BREAK,3.9200000762939453,0,TR 0.0200 > 2.0×ATR(20) 0.0090
2025-09-02,2025-09-02 14:05,JMT.BK,VOLATILITY_BREAK,11.800000190734863,0,TR 0.1000 > 2.0×ATR(20) 0.0500
2025-09-02,2025-09-02 14:05,CENTEL.BK,VOLATILITY_BREAK,29.0,0,TR 0.2500 > 2.0×ATR(20) 0.0625
